Namespace(filename='tmp.csv')
Sun Jul  1 08:43:17 2018    tmp.csv

         318233 function calls (315963 primitive calls) in 6.239 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    146/1    0.016    0.000    6.240    6.240 {built-in method builtins.exec}
        1    0.000    0.000    6.240    6.240 session_manager.py:2(<module>)
        1    0.000    0.000    5.697    5.697 session_manager.py:147(__init__)
        1    0.000    0.000    5.668    5.668 pixel_display.py:32(welcome_message)
        1    0.725    0.725    5.667    5.667 text_handler.py:28(display_text)
      336    3.156    0.009    3.156    0.009 {built-in method time.sleep}
      169    0.014    0.000    1.694    0.010 __init__.py:137(show)
    42752    0.668    0.000    0.668    0.000 __init__.py:81(set_pixel)
        8    0.002    0.000    0.580    0.073 __init__.py:1(<module>)
    42752    0.201    0.000    0.498    0.000 Image.py:1203(getpixel)
    173/5    0.005    0.000    0.479    0.096 <frozen importlib._bootstrap>:966(_find_and_load)
    173/5    0.003    0.000    0.479    0.096 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
    162/9    0.004    0.000    0.473    0.053 <frozen importlib._bootstrap>:659(_load_unlocked)
    137/9    0.003    0.000    0.471    0.052 <frozen importlib._bootstrap_external>:667(exec_module)
    238/8    0.001    0.000    0.470    0.059 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
        1    0.000    0.000    0.438    0.438 pixel_display.py:3(<module>)
   325/14    0.002    0.000    0.424    0.030 {built-in method builtins.__import__}
   768/53    0.003    0.000    0.422    0.008 <frozen importlib._bootstrap>:996(_handle_fromlist)
        1    0.001    0.001    0.403    0.403 __init__.py:106(<module>)
    42752    0.355    0.000    0.355    0.000 text_handler.py:108(<listcomp>)
        1    0.006    0.006    0.330    0.330 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.254    0.254 type_check.py:3(<module>)
    42753    0.185    0.000    0.234    0.000 Image.py:750(load)
      169    0.175    0.001    0.175    0.001 {method 'xfer2' of 'SpiDev' objects}
        1    0.000    0.000    0.126    0.126 __init__.py:7(<module>)
      137    0.005    0.000    0.120    0.001 <frozen importlib._bootstrap_external>:737(get_code)
      169    0.007    0.000    0.085    0.001 <frozen importlib._bootstrap>:879(_find_spec)
        2    0.000    0.000    0.083    0.041 __init__.py:45(<module>)
      137    0.002    0.000    0.080    0.001 <frozen importlib._bootstrap_external>:482(_compile_bytecode)
      137    0.078    0.001    0.078    0.001 {built-in method marshal.loads}
      158    0.001    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:1141(find_spec)
      158    0.004    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1109(_get_spec)
  162/159    0.002    0.000    0.065    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
    42752    0.063    0.000    0.063    0.000 {method 'getpixel' of 'ImagingCore' objects}
      317    0.018    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:1223(find_spec)
        1    0.000    0.000    0.063    0.063 session_manager.py:165(setup_workout)
        1    0.000    0.000    0.061    0.061 _internal.py:6(<module>)
  347/345    0.032    0.000    0.056    0.000 {built-in method builtins.__build_class__}
    42753    0.049    0.000    0.049    0.000 {method 'pixel_access' of 'ImagingCore' objects}
        1    0.000    0.000    0.048    0.048 decorators.py:15(<module>)
        8    0.046    0.006    0.046    0.006 {built-in method builtins.print}
        1    0.000    0.000    0.046    0.046 utils.py:4(<module>)
